,"Austria","Belgium","Bulgaria","Croatia","Cyprus","Czechia","Denmark","Estonia","Finland","France","Germany","Greece","Hungary","Ireland","Italy","Latvia","Lithuania","Luxembourg","Malta","Netherlands","Poland","Portugal","Romania","Slovakia","Slovenia","Spain","Sweden","United Kingdom"
"1932-01-01 00:00:00",1.64046712109078,13.7257570509765,0.667355564426975,,,,0,,0.276378823240388,34.477213569586,72.4078757617123,0.0199162802604103,2.08864611052082,0.0913024689841543,2.81914642120747,,,0,,8.962618,17.29135984519,0.161104016705564,9.0231966622901,,,4.85022246734893,1.31860571009704,124.937285803046
"1933-01-01 00:00:00",1.64982837695001,16.2105460815625,0.597466595012898,,,,0,,0.309393560987594,35.1595231249232,75.5685725662695,0.0145654802604103,2.04412611052082,0.83233535683577,3.1374482606068,,,0.000245670065102567,,8.8279415,16.9044629028959,0.173525666380052,9.16977239963241,,,4.38742379473053,1.39453709773984,123.961457791549
"1934-01-01 00:00:00",1.62670253248372,16.9095246019531,0.628175666380052,,,,0.13125,,0.331654587888466,35.8093919665889,84.5310823294067,0.0148398802604103,2.11012655,0.851412390025795,3.43765246356099,,,0.000245670065102567,,8.663494,17.9602259606018,0.172654016705564,10.5012994771049,,,4.38302849911741,1.11390942199975,132.137619010208
"1935-01-01 00:00:00",1.69805848801744,16.9920788739713,0.635310305859231,,,,0.11375,,0.406829627809851,35.0262856368996,94.8263490660975,0.0137422802604103,2.29095827071613,0.941181142955411,3.81276576901486,,,0,,8.579277,17.5610133686332,0.183197727551898,10.6018385239915,,,5.04112206164211,1.35265734371699,133.084947290689
"1936-01-01 00:00:00",1.71295334745732,17.8633080338411,0.65076071735659,,,,0,,0.4252784915858,34.5421616889817,104.760767994976,0.0155258802604103,2.40662090097654,0.951054205429308,4.13375239937968,,,0,,9.2097355,18.24683478686,0.191678448593539,11.0915043123103,,,2.77927621308709,1.96525046048397,136.801377603489
"1937-01-01 00:00:00",1.87321235559514,19.1386926937108,0.723119788723744,,,,0,,0.511754354501904,34.2191919579904,121.036527829468,0.0189558802604103,2.72179040097654,0.945556955754821,4.78472358911682,,,0.000245670065102567,,10.3145385,21.4514335554122,0.223498139049257,9.74308908023857,,,2.04325228123763,2.01884402383,143.976044599152
"1938-01-01 00:00:00",1.75636242021865,18.9600019828645,0.816539479179462,,,,0,,0.609665679891905,35.608028990296,124.141875805184,0.0160459503255128,2.8818101,0.892700027121975,4.96321192241125,,,0.000245670065102567,,9.7536845,22.4811369814815,0.253554428202924,9.16150894379857,,,4.03857670507551,2.08085046570446,136.018135224321
"1939-01-01 00:00:00",1.90942206262744,19.1312962242968,0.875948863775949,,,,0.00442206117184621,,0.604296608524751,37.9317773725586,123.099693645338,0.0205448203906154,3.3626791,1.00427539653605,6.14990826890431,,,0.000245670065102567,,9.3004415,14.0067162407407,0.26650762191377,8.75255091950696,,,4.75769543305294,2.28963247895836,138.619183003931
"1940-01-01 00:00:00",2.23876486946321,16.3638712516276,1.08648360152315,,,,0.935279081562462,,0.341286958604594,31.1451338803587,125.425817847721,0.036019690455718,3.70007585,1.0801076652991,6.84534813010072,,,0.000245670065102567,,8.8088805,44.5298465,0.32467494165336,8.30198174228573,,,6.4095756143899,2.31548806355485,134.377088652082
"1941-01-01 00:00:00",2.47074249473652,17.1237937822135,1.16638793145805,,,,1.86131340130205,,0.322342734307825,33.240660049134,127.32441576552,0.0256786802604103,4.13723355,1.18525767940056,7.26854522677804,,,0.000245670065102567,,9.7199305,43.7997277592593,0.38082298243459,7.81173236766861,,,6.57528889290165,2.55260934665275,123.6590503241
